Cleaned_Comment,Emoji_Sentiment_Score,Text_Sentiment,Text_Sentiment_Score,Final_Sentiment
i hate the aisle blockade 🙄 like move also i work as a cashier and i only greet people other than that i dont talk because item usually the only one working other than my manager and i dont have time to chat it up also please dont stay in line for 5 minutes come up let me ring your huge order out and start counting out change slowly at the end of your transaction everyone rates you,0.0,Positive,0.5719,Positive
a he cry just chill in the background😂,0.221,Negative,-0.0516,Neutral
brow do not waste milk,0.0,Positive,0.3252,Positive
"The writers must be brain-dead, this script is awful 📝🤬  ",0.231,Negative,-0.4588,Negative
who else been waiting for this to come out😂😂,0.221,Positive,0.7003,Positive
the best channel ever i am watching you from ran keep it up guns ,0.0,Positive,0.6369,Positive
you should have included the annoying guy who hits everyone is heels with a shopping cart 😂,0.221,Positive,0.0516,Positive
a he the lady in the background decided not to go down the aisle,0.0,Neutral,0.0,Neutral
i hope they were already plan g on red g the basketball court😂,0.221,Positive,0.7003,Positive
this was the funniest why did he squeeze the avocado ,0.0,Positive,0.5574,Positive
been waiting for another stereotyped video,0.0,Negative,-0.296,Negative
quote guess we can play halfcourtquot 😂,0.221,Positive,0.6486,Positive
a he howtobasic 😂,0.221,Positive,0.4404,Positive
"Holy shit, this game is unbalanced as fuck, needs a patch 🎮💀",0.11,Negative,-0.7964,Negative
hope the floor is ok 😭😭😭😭,-0.093,Negative,-0.8074,Negative
😂😂😂😍😍😍,0.4495,Positive,0.9493,Positive
a he that is me😂😂😂😂,0.221,Positive,0.891,Positive
"Fucking worst mic I’ve ever used, audio is garbage 🎤🤬  ",0.476,Negative,-0.659,Negative
when he squeezed the avocado he had me laughing 😂😂😂,0.221,Positive,0.8979,Positive
come on admit it everyone was the produce inspector when they were a kid😂😂😂,0.221,Positive,0.8591,Positive
the rage master had me dead 😂,0.221,Negative,-0.7184,Negative
i love you so much good job on the trick shots 😍😍😍😍😍,0.678,Positive,0.969,Positive
awesome video why you neck the court though 😂😂😂,0.221,Positive,0.9153,Positive
waters back off due perfect😏😏😏,0.332,Positive,0.5719,Positive
hey you should do american stereotyped 😂 oh wait you are ones,0.221,Positive,0.1779,Positive
they forgot the the incomplete list guy 😂😂,0.221,Positive,0.7003,Positive
rage monster man that guy broke the whole grm that is not funny its expensivefunny why did i say that 😐😐,-0.388,Negative,-0.8319,Negative
😂😂😂😂rage monster went too far,0.221,Positive,0.7783,Positive
been here before one mild  glad to see the amazing growth,0.0,Positive,0.8555,Positive
br,0.0,Neutral,0.0,Neutral
the rage monster  was the best ,0.0,Positive,0.1531,Positive
cody try39s to fix the court with tape  a he 😂😂😂,0.221,Positive,0.8271,Positive
is it me or is everyone each one of them😂😂😂,0.221,Positive,0.8271,Positive
cody you must have the warmest bed room😎😎,0.491,Positive,0.8271,Positive
hahahahahahahhahahahhaahhaahhahahahaha😂,0.221,Positive,0.4404,Positive
Who the fuck designed this level? It’s impossible to beat 🎮🤡  ,0.427,Negative,-0.5423,Negative
they are wasting resourcesfood  s,0.0,Negative,-0.4019,Negative
i am left the cart rider 😂,0.221,Positive,0.4404,Positive
 c ,0.0,Neutral,0.0,Neutral
nice to see something different from you guns 😂,0.221,Positive,0.6908,Positive
"Whoever made this decision is an idiot, total failure 🤦‍♂️🔥",0.132,Negative,-0.8516,Negative
waiting a whole week messrs ,0.0,Neutral,0.0,Neutral
did you actually break the basketball area ,0.0,Neutral,0.0,Neutral
This artist keeps releasing the same boring songs 🎤😴  ,0.1979999999999999,Negative,-0.3182,Negative
you guns are awesome ,0.0,Positive,0.6249,Positive
listen to my song cannot lose on my channel🙏video dropping on halloween,0.417,Positive,0.3089,Positive
i am never cooing back your court is destroyed 😌😌,0.482,Positive,0.25,Positive
had got some screen time finally 😂😂,0.221,Positive,0.7003,Positive
the lost guy that39s me all the time 🙄😂,0.221,Positive,0.1531,Positive
not really stereotyped just actually types of shippers all which i deal with on the daily 😒,-0.374,Positive,0.2743,Positive
i am probably your favorite fan and it is my birthday ,0.0,Positive,0.6486,Positive
jurassic craft stereotyped ,0.0,Negative,-0.296,Negative
😂😂😂😂😂,0.221,Positive,0.926,Positive
may why are all these too reliable 😂😂😂,0.221,Positive,0.8271,Positive
This game is broken and unplayable. What a joke 😵‍💫👎  ,0.1323333333333333,Negative,-0.5719,Negative
the rage monster was similar to how to basic😂😂,0.221,Positive,0.296,Positive
they must be getting a new court😂,0.221,Positive,0.4404,Positive
cart rider😁😂,0.335,Positive,0.7096,Positive
rage monster why😂😂,0.221,Positive,0.296,Positive
oh i just hate the rage monster😠,-0.299,Negative,-0.891,Negative
😝,0.423,Neutral,0.0,Positive
there is a picture on their instagram that says the rage monster was here and it shows the  court,0.0,Negative,-0.5574,Negative
utf  they destroyed their own basketball court 😐😂,-0.0835,Negative,-0.0772,Negative
ty you destroyed the basketball courting😮😮😮😮😮,0.269,Negative,-0.1531,Neutral
not the basketball court 😭,-0.093,Negative,-0.4767,Negative
do football stereotyped please,0.0,Neutral,0.0258,Neutral
the basketball court part hurt me😂😩,-0.0735,Negative,-0.3818,Negative
i swear to god ill like this comment 😏 you swore to god,0.332,Positive,0.4019,Positive
Who the fuck thought this was a good idea? Total failure 🤡🔥  ,0.139,Negative,-0.7645,Negative
😤😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱,0.1650624999999999,Negative,-0.9977,Negative
the funniest stereotyped video ever😂😂😂😂,0.221,Positive,0.9186,Positive
"Holy shit, these headphones sound like dollar store junk 🎧💀  ",0.1035,Negative,-0.2732,Negative
and how about in december do a christmas stereotyped again🙏,0.417,Negative,-0.296,Negative
a he 😁,0.449,Positive,0.4588,Positive
malasha here ,0.0,Neutral,0.0,Neutral
a he love the banana and milk stuffed into the isle shelves 😂😂😂,0.221,Positive,0.9169,Positive
i am already dying laughing at the first one😂😂,0.221,Positive,0.8402,Positive
cody quotwell we still can play another half of the courtquotbrbrthen tyler come with a bowing ball and destroy another half of the basketball court,0.0,Negative,-0.2732,Negative
item the cart rider😎,0.491,Positive,0.4588,Positive
is it wrong that item multiple of these may especially cart rider😂😂😂😂😂,0.221,Positive,0.886,Positive
every like ill add 1,0.0,Negative,-0.0772,Negative
codes face when ty destroyed the basketball court ,0.0,Negative,-0.1531,Negative
"This remix is horrible, ruined a good song 🎶😵‍💫  ",0.3739999999999999,Negative,-0.7579,Negative
i wonder how much money you have to do rage monster😂,0.221,Negative,-0.1779,Negative
the normal people in the store right now😲😮😬,0.1316666666666666,Positive,0.0516,Positive
you guns are so funny 😆,0.409,Positive,0.7593,Positive
please guns do spear throwing trick shots,0.0,Positive,0.2732,Positive
what is your next video as i like watching due perfect 😍😍,0.678,Positive,0.9042,Positive
i lost it when he squished the avocado 😂😂,0.221,Positive,0.5423,Positive
i will definitely be the guy that forgets the only important thing when i grow up😂😂,0.221,Positive,0.8519,Positive
cart  probe,0.0,Neutral,0.0,Neutral
find the godlike if you did ,0.0,Neutral,0.0,Neutral
thanks due perfect i love your video you are all very funny i like the rage monster stereotyped 😂,0.221,Positive,0.9307,Positive
a he what a waste of produce and other items hata😂😂😅,0.2066666666666666,Positive,0.6705,Positive
"This product is a fucking scam, don’t waste your money 💸🤬  ",0.159,Negative,-0.7939,Negative
rage monster 😂,0.221,Negative,-0.1779,Negative
why the court 😭😭😔😔,-0.1195,Negative,-0.6808,Negative
the rage monster is my favorite 😂,0.221,Positive,0.3182,Positive
i felt so bad for ty when he found out that cody did not bring his tapioca pudding 😂,0.221,Positive,0.0702,Positive
every time he did something to the court with the rage monster it really made me feel bad about that wastefulness ,0.0,Negative,-0.7964,Negative
the person that gets angry makes me mad 😡,-0.173,Negative,-0.7579,Negative
that was an awesome one 😂,0.221,Positive,0.7906,Positive
take monster fan smash the like here  😍😅😂😍😘😂😂,0.4140000000000001,Positive,0.9712,Positive
ty your awesome 😎,0.491,Positive,0.8658,Positive
a lot of people r like what store r they 😂 its only in texas,0.221,Positive,0.6597,Positive
cody lose the beard due😐😐,-0.388,Negative,-0.4019,Negative
ty is destroying everything that i cannot afford that is just😢,0.007,Negative,-0.6249,Negative
life lesson i think we can all agree on never forget tyler39s tapioca pudding a he ,0.0,Positive,0.4881,Positive
why is ty always the rage monsterbr1 like rage boost on ty the rage monster,0.0,Negative,-0.34,Negative
ty i cannot believe you destroyed your basketball court 😮,0.269,Positive,0.6402,Positive
a he i gets ty wanted a new floor ,0.0,Positive,0.3818,Positive
a he is so deep😂😂😂,0.221,Positive,0.8271,Positive
anyone else realize at a he in the background the guy taking a picture😂😂,0.221,Positive,0.7003,Positive
i am the one trip master 😂😂,0.221,Positive,0.7003,Positive
i am a cart  rider,0.0,Neutral,0.0,Neutral
a he soon me 😂,0.221,Positive,0.4404,Positive
that was perfect 😂,0.221,Positive,0.765,Positive
this makes me want to go to grocer store now 😭😭😭,-0.093,Negative,-0.8402,Negative
rip basketball court a he 😥😥😰,0.0746666666666666,Negative,-0.2263,Negative
why the basketball court 😢,0.007,Negative,-0.4767,Negative
i hope that rage moment just for once 😂,0.221,Positive,0.296,Positive
item the hungry one for sure,0.0,Positive,0.3182,Positive
ply 😔 dont 😖 waste  food ,-0.1505,Positive,0.3883,Positive
cheapest rage monster i guess😅😅😅,0.178,Positive,0.4404,Positive
a he this is me every time i go to the grocer store literally 😂😂😂😂,0.221,Positive,0.891,Positive
i love when he rages he always have to scream  the whole time😂,0.221,Positive,0.3182,Positive
quoti39m going to need more tapequot,0.0,Neutral,0.0,Neutral
as someone who worked to the grocer store for 2 years i thoroughly enjoyed this video 😂,0.221,Positive,0.7574,Positive
the court😪,-0.08,Neutral,0.0,Neutral
noah that is a pretty good pack a gum there you got sticky breath 😂😂😂😂😂,0.221,Positive,0.9618,Positive
"What a shitty excuse for an update, absolute disaster 💻🔥  ",0.1945,Negative,-0.8689,Negative
him i see you love the he in dallas texas ,0.0,Positive,0.6369,Positive
This overpriced garbage isn’t worth a single fucking cent 💸💀  ,-0.0239999999999999,Positive,0.2263,Positive
r i p basketball courtbrplus he cannot even play half court 😂brown ty 😉,0.342,Negative,-0.0864,Neutral
they destroyed their basketball court just for the rage monster stung ,0.0,Negative,-0.7783,Negative
a he 😏,0.332,Neutral,0.0,Positive
you are doing nice work,0.0,Positive,0.4215,Positive
i love you guns 😭,-0.093,Positive,0.2732,Positive
who else saw the cilantro before he said anything about it 😂,0.221,Positive,0.4404,Positive
stereotyped series doesn39t end until it has a rage monster in it😉,0.463,Negative,-0.7003,Negative
a he he just told the cash register 😂😂😂,0.221,Positive,0.8271,Positive
org the basketball court 😂 was not expecting that,0.221,Positive,0.4404,Positive
hi dudeperfect i have an idea for your next video how about you guns make a vacation trip stereotyped😆😆,0.409,Positive,0.4215,Positive
i feel bad for cody😭😭😭😭😭😭😭,-0.0929999999999999,Negative,-0.9756,Negative
was cody crying for real😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐,-0.388,Negative,-0.4767,Negative
trick or treat stereotyped ,0.0,Positive,0.0772,Positive
a he how did he get all the way in when there is so much milk ,0.0,Neutral,0.0,Neutral
The dialogue in this movie is cringe and unbearable 😬🎬  ,0.2365,Negative,-0.34,Negative
This update ruined everything I liked about the app 😵‍💫📱  ,0.2976666666666667,Negative,-0.4767,Negative
😀😀😀,0.568,Positive,0.7579,Positive
i am mr expiration i swear😂,0.221,Positive,0.4019,Positive
that39s so real 😭😭😂😂😂😂,0.1163333333333333,Positive,0.6293,Positive
imagine how  much they paid to fix the basketball court 😂,0.221,Positive,0.4404,Positive
as a basketball player it was very hard to watch rage monster🙁 i hope that you will repair it but it was also funny great job on the episode,0.0,Positive,0.85,Positive
mr too many items 😂,0.221,Positive,0.4404,Positive
ll a he is so accurate😂,0.221,Positive,0.4404,Positive
a he look at that milk on the left 😂,0.221,Positive,0.4404,Positive
they waste clot of money 😂😂😂😂😂😂😂,0.221,Positive,0.9477,Positive
i am going to say this but i hate this video i am sorry please do not do this video again i do not like doing like you are storing stuff in courses to show your house do you like spoiling understand please do not worry house but i do not know what is it please or story right😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😢😢😢😢😢😢,-0.068,Negative,-0.9986,Negative
the allowed thing is on my b day 😂😂,0.221,Positive,0.7003,Positive
looks like up has purchased the whole grocer store😂😂😂,0.221,Positive,0.8807,Positive
waste of food and unnecessary damage ,0.0,Negative,-0.7184,Negative
the beginning when cody takes the chips from the cart ,0.0,Neutral,0.0,Neutral
you now what is funny today i was in a super market holding and every one was blocking me and  i was very mad i was going to explode ,0.0,Positive,0.1796,Positive
cool    br😎😎😎😎😎😎😎😎😎,0.491,Positive,0.9805,Positive
"This video is straight up bullshit, nothing but lies 📹🤬",0.429,Positive,0.2612,Positive
item the cart rider😂😂,0.221,Positive,0.7003,Positive
i am dying ,0.0,Neutral,0.0,Neutral
"Fucking worst-designed website, it’s a nightmare to navigate 🖥️🤢  ",0.0,Neutral,0.0,Neutral
the due just straight up gripped up the basketball court 😂😂,0.221,Positive,0.7717,Positive
i hope they were planning to red the court cut if not that was a waste of money,0.0,Negative,-0.25,Negative
in  a he at is me all the time when i go shopping 😂,0.221,Positive,0.4404,Positive
i was strolling through the comments and i saw sleep stereotyped i would like that one too😋😋😋😆,0.5755,Positive,0.4215,Positive
now i couldn39t stop thinking about all the clean this video required 😂,0.221,Positive,0.5267,Positive
a he that is what she said 😂,0.221,Positive,0.4404,Positive
how did you guns get it fixed br😌,0.482,Positive,0.3818,Positive
hata this is so funny 😂,0.221,Positive,0.7678,Positive
😂😂😂😂,0.221,Positive,0.891,Positive
what about the soap sniffed 😂,0.221,Positive,0.4404,Positive
i thought heads going to destroy the store at rage monster 😑,-0.311,Negative,-0.7964,Negative
fig stop wasting food i do not understand what is this possession with you influences and tiktokers and youtubers to waste food you can afford it does not mean you need to waste it 🙄,0.0,Negative,-0.8591,Negative
"Fucking worst speaker ever, sounds like a tin can 🔊🤡  ",0.404,Negative,-0.4391,Negative
rage monster 😂😂😂 its my favorite one every time,0.221,Positive,0.7964,Positive
item such a fan,0.0,Positive,0.3182,Positive
thank you for making this😊,0.644,Positive,0.8402,Positive
stop breaking out about the court guns it will be fine 😂,0.221,Positive,0.3612,Positive
Why the fuck does this app keep crashing? Worst shit ever 📱💩,0.096,Negative,-0.9042,Negative
every like i add one bulldog bear,0.0,Positive,0.3612,Positive
i was so sad when he hurt the court i was like please no 😬,0.194,Negative,-0.3726,Negative
i love the rage monster 😂,0.221,Positive,0.5423,Positive
is jeff money  is and ,0.0,Neutral,0.0,Neutral
the rage monster is hilarious every single time  ,0.0,Negative,-0.2263,Negative
a he now 😮 no words d how are you going to replace that,0.269,Negative,-0.296,Negative
finallyyyy more stereotyped ,0.0,Negative,-0.3597,Negative
a he there is a cart next to him ll 😂,0.221,Positive,0.4404,Positive
stereotyped halloween ,0.0,Negative,-0.296,Negative
"This album is complete trash, who listens to this garbage? 🎵💀  ",0.1465,Neutral,0.0,Neutral
dukes so rich the broke their whole basketball court 😂😂,0.221,Positive,0.767,Positive
"Bro, your review is dogshit, go learn something 🤡📢  ",0.421,Neutral,0.0,Positive
rage monster is today have much more energy 😁😁😁😁😁😁😁😎😎😎😎😎😎😎😎😎😎,0.473705882352941,Positive,0.9931,Positive
i usually enjoy rage monster this time it hunted😂,0.221,Positive,0.3612,Positive
a he bright by the side there a single cart😂😂,0.221,Positive,0.8271,Positive
a he i hate the rage monster ,0.0,Negative,-0.8074,Negative
for every like ill add a bravery comment ill add a bullets see who wins the race,0.0,Positive,0.5859,Positive
"This movie’s pacing is so fucking slow, absolute borefest 🎬🤡  ",0.279,Neutral,0.0,Positive
a he why is there a milk carbon in the candy shelf 😆😆😆,0.409,Positive,0.7579,Positive
do halloween stereotyped ,0.0,Negative,-0.296,Negative
my dad is so the lost guy 😂😂😂,0.221,Positive,0.7287,Positive
a he wants some fresh guacamole made by the purple hosmer,0.0,Positive,0.3182,Positive
i am the cart rider,0.0,Neutral,0.0,Neutral
i am the cart rider person ll 😆,0.409,Positive,0.3612,Positive
he 😎 my mon dose all of them no joke literally 😂,0.356,Positive,0.6139,Positive
so funny too 😂😂😂,0.221,Positive,0.8977,Positive
😶😶😶😂😂😂😂,0.0654285714285714,Positive,0.891,Positive
there is an milk at a he ,0.0,Neutral,0.0,Neutral
its a funny avacoto,0.0,Positive,0.4404,Positive
soccer stereotyped next 😊😙,0.7110000000000001,Positive,0.8885,Positive
hut i could have met you all in texas but i had to move to denmark 😥,0.122,Negative,-0.1901,Negative
i was hoping the rage monster in the store😂,0.221,Positive,0.2732,Positive
really guns the whole court i was cringing so hard😂😱,0.2055,Negative,-0.5812,Negative
do school next please we need it 😂,0.221,Positive,0.6369,Positive
i cannot get over the rage monster 😂,0.221,Negative,-0.1779,Negative
"Holy shit, this microphone picks up everything but my voice 🎤🤡  ",0.476,Negative,-0.3182,Negative
did they actually destroy a basketball court  😂😳,0.1195,Negative,-0.1531,Negative
did you actually break your place😕,-0.397,Negative,-0.3182,Negative
 and,0.0,Neutral,0.0,Neutral
This show has the worst acting I’ve ever seen 🎭🤡,0.0,Negative,-0.6249,Negative
i cannot believe he  destroyed the floor for a video 😩😲,-0.218,Positive,0.4815,Positive
paintball stereotyped please😂by the way you guns are great this had me laughing on the floor😂that or airport,0.221,Positive,0.6808,Positive
money spent on repairs6000000000000000000 😎😎😎,0.4909999999999999,Positive,0.8402,Positive
why do you guy need to have the rage monster it is annoying    and it is in every stereotyped that i have watched please do not use it any more bit would mean a lot brbrthanks😇,0.587,Negative,-0.4939,Negative
best rage monster ever 😡😠😡,-0.215,Negative,-0.4019,Negative
You're a dumbass if you actually liked this bullshit 🤡😤  ,-0.209,Negative,-0.743,Negative
i was on the floor laughing because these are so true but they make then super funny 😂,0.221,Positive,0.9549,Positive
now talk about an over reaction for pudding😂,0.221,Positive,0.4404,Positive
how would they afford the floor 😂,0.221,Positive,0.4404,Positive
this is codybrbrbrbrhe has performed one trickery like  1 trickbrcan we get him to his trick count,0.0,Positive,0.0516,Neutral
100 mill😊,0.644,Positive,0.7184,Positive
org do they really have to repair the court again www i am so sad but at the same time laughing because of ty raging and copy trying to fix his mess 😂😟😂😟 if they really have to repair the court i am so sorry i am kind of s builder so i wish i was there to help and now i mean let us take a moment to be proud of types raging skill let no i am so sad if they39re going to repair that well ulm yeah this is the end of my comment a bye now hope you can repair and clean the court soon let,0.1465,Positive,0.8742,Positive
i am a huge fan of you guns but please do not simply waste food just like that there are millions of people starving to death and you could have simple feed those in hunger rather peace,0.0,Positive,0.5716,Positive
every time in rage monster  tyler is rage monster  cody is the victim 😂,0.221,Negative,-0.7506,Negative
cart rider and rage monster was the best😂😂,0.221,Positive,0.7506,Positive
wedding stereotyped,0.0,Negative,-0.296,Negative
watching the basketball court get destroyed was painful 😢,0.007,Negative,-0.8481,Negative
This band’s new album is a massive disappointment 🎸😞  ,0.199,Negative,-0.7506,Negative
i think you forgot quotdaddy i want thatquot😎😎😂,0.401,Positive,0.8481,Positive
to i am actually sobbing back to those who have liked this and sobs to me boris ,0.0,Negative,-0.5106,Negative
i wonder how much money is spent for the outrage monster quit by the way this is hilarious 😂,0.221,Positive,0.3182,Positive
"Fucking laggy as hell, makes the game unplayable 🎮😡  ",0.127,Negative,-0.7063,Negative
org that was awesome love you guns soon much you make me laugh but ummmmm how is you r floor 😅 ty,0.178,Positive,0.8885,Positive
how much would it cost to repair the court because it is not me who would just damage there basketball court for no reason like if you agree 😂,0.221,Negative,-0.2755,Negative
"What a waste of storage space, this app is useless 🗑️📱  ",0.308,Negative,-0.6808,Negative
hata the only trip stereotyped is me ,0.0,Negative,-0.296,Negative
ty i love you but that39s way way way too expensive of a rage monster ,0.0,Negative,-0.3612,Negative
mummy didn39t know that cash register could listen to the shipper telling himthat the other shipper had more than fifteen itemslol you learn something new every day ll,0.0,Neutral,0.0,Neutral
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 that is funny,0.221,Positive,0.9953,Positive
the rage monster is 😂,0.221,Negative,-0.1779,Negative
Another lazy ass remake that nobody asked for 🎥🤬,0.29,Negative,-0.7184,Negative
"Holy shit, this update made everything worse, fucking idiots 🔄🤬",0.0,Negative,-0.7717,Negative
he ,0.0,Neutral,0.0,Neutral
brazil ,0.0,Neutral,0.0,Neutral
what are those,0.0,Neutral,0.0,Neutral
a he item dead 😂😂,0.221,Positive,0.128,Positive
ty is breaking the court😮😮😮😮,0.269,Positive,0.3818,Positive
the basketball court 😭,-0.093,Negative,-0.4767,Negative
man heads got some anger issues😳😧,-0.0225,Negative,-0.7579,Negative
kind of wish rage monster was in the store then ,0.0,Negative,-0.2263,Negative
keeps replying a he 😂,0.221,Positive,0.4404,Positive
my favorite part is when cody too all the candy  candy,0.0,Positive,0.4588,Positive
that was very funny 😆 i love the video,0.409,Positive,0.8799,Positive
how did you guns fix the basketball stadium ,0.0,Neutral,0.0,Neutral
i am ms expiration date and because of that i saved my family and likely others from food poisoning because the store was selling expired yakov also i am 12 ,0.0,Negative,-0.25,Negative
why is ty always the rage monster😂😂,0.221,Positive,0.5859,Positive
look at the people behind you,0.0,Neutral,0.0,Neutral
due perfect it do not matter which one you do its going to be good anyway 😊 ,0.644,Positive,0.9105,Positive
my favorite is the rage monster   i think you forgot the slow cashier heh,0.0,Negative,-0.296,Negative
"The interface is so confusing, terrible design 🤯🖥️  ",0.0,Negative,-0.7068,Negative
oh yeah babyyyyy😍😘😂,0.5333333333333333,Positive,0.872,Positive
i like the rage monster 😂😂😂,0.221,Positive,0.765,Positive
a he garrett39s face is priceless😂😂,0.221,Positive,0.7003,Positive
amazing guns 😂,0.221,Positive,0.7717,Positive
dont waste food😡,-0.173,Positive,0.3252,Positive
who else was crippled because of all the food they wasted and the thousands of dollars in repairs to that beautiful court 😩,-0.368,Negative,-0.1027,Negative
hit likes for up,0.0,Positive,0.4215,Positive
a he up knew bout corona virus they were planning for 1 yearbrbr😱😱,0.19,Negative,-0.891,Negative
my family does all of these 😭😭,-0.093,Negative,-0.7351,Negative
i felling 😀😀😀,0.568,Positive,0.7579,Positive
rage is the best😂,0.221,Positive,0.5423,Positive
rip floor br20162018br😭😭,-0.093,Negative,-0.7351,Negative
i love due perfect ,0.0,Positive,0.836,Positive
the rage monster is so funny😂,0.221,Positive,0.4663,Positive
basketball court😭,-0.093,Negative,-0.4767,Negative
there is just milk shoved in the shelf😹,0.141,Positive,0.4404,Positive
the rage monster never gets old😂😂,0.221,Positive,0.296,Positive
you make every stereotyped instead of baseball s ,0.0,Negative,-0.296,Negative
