Cleaned_Comment,Emoji_Sentiment_Score
org do they really have to repair the court again www i am so sad but at the same time laughing because of ty raging and copy trying to fix his mess ???????? if they really have to repair the court i am so sorry i am kind of s builder so i wish i was there to help and now i mean let us take a moment to be proud of types raging skill let no i am so sad if they39re going to repair that well ulm yeah this is the end of my comment a bye now hope you can repair and clean the court soon let,0.1465
i am a huge fan of you guns but please do not simply waste food just like that there are millions of people starving to death and you could have simple feed those in hunger rather peace,0
every time in rage monster  tyler is rage monster  cody is the victim ??,0.221
cart rider and rage monster was the best????,0.221
wedding stereotyped,0
watching the basketball court get destroyed was painful ??,0.007
This band’s new album is a massive disappointment ????  ,0.199
i think you forgot quotdaddy i want thatquot??????,0.401
to i am actually sobbing back to those who have liked this and sobs to me boris ,0
i wonder how much money is spent for the outrage monster quit by the way this is hilarious ??,0.221
"Fucking laggy as hell, makes the game unplayable ????  ",0.127
org that was awesome love you guns soon much you make me laugh but ummmmm how is you r floor ?? ty,0.178
how much would it cost to repair the court because it is not me who would just damage there basketball court for no reason like if you agree ??,0.221
"What a waste of storage space, this app is useless ?????  ",0.308
hata the only trip stereotyped is me ,0
ty i love you but that39s way way way too expensive of a rage monster ,0
mummy didn39t know that cash register could listen to the shipper telling himthat the other shipper had more than fifteen itemslol you learn something new every day ll,0
???????????????????????????????????????? that is funny,0.22100000000000003
the rage monster is ??,0.221
Another lazy ass remake that nobody asked for ????,0.29
"Holy shit, this update made everything worse, fucking idiots ????",0
he ,0
brazil ,0
what are those,0
a he item dead ????,0.221
ty is breaking the court????????,0.269
the basketball court ??,-0.093
man heads got some anger issues????,-0.0225
kind of wish rage monster was in the store then ,0
keeps replying a he ??,0.221
my favorite part is when cody too all the candy  candy,0
that was very funny ?? i love the video,0.409
how did you guns fix the basketball stadium ,0
i am ms expiration date and because of that i saved my family and likely others from food poisoning because the store was selling expired yakov also i am 12 ,0
why is ty always the rage monster????,0.221
look at the people behind you,0
due perfect it do not matter which one you do its going to be good anyway ?? ,0.644
my favorite is the rage monster   i think you forgot the slow cashier heh,0
"The interface is so confusing, terrible design ?????  ",0
oh yeah babyyyyy??????,0.5333333333333333
i like the rage monster ??????,0.221
a he garrett39s face is priceless????,0.221
amazing guns ??,0.221
dont waste food??,-0.173
who else was crippled because of all the food they wasted and the thousands of dollars in repairs to that beautiful court ??,-0.368
hit likes for up,0
a he up knew bout corona virus they were planning for 1 yearbrbr????,0.19
my family does all of these ????,-0.093
i felling ??????,0.568
rage is the best??,0.221
rip floor br20162018br????,-0.093
i love due perfect ,0
the rage monster is so funny??,0.221
basketball court??,-0.093
there is just milk shoved in the shelf??,0.141
the rage monster never gets old????,0.221
you make every stereotyped instead of baseball s ,0
Another dumbass update that nobody asked for ????,0
a he bear,0
"This song is pure fucking noise, who listens to this trash? ????  ",0.5
literally my mon fits almost all of these??,0.221
the hungry part is me ??,0.221
now may so funny and reliable love you guns ??,0.221
up why are you all getting dry cilantro you monster ??,0.455
let us reflect on the fact that they destroyed a court for us??,0.221
"Whoever directed this is an asshole, terrible movie ????  ",0.08150000000000002
finally i see more stereotyped video again??,0.557
so funny ??,0.221
when he said ooohhhh the cereal isle  i died from laughter ??,0.221
and fix the he ????????,0.335
there always has to be the rage monster??????,0.221
that was so painful watching the grm getting destroyed ????,0.1995
a he there is always a rage monster ??,0.221
i love the rage monster????,0.221
i was waiting for the outrage monsterquot??,0.221
 goteeeeahahahahaha,0
the court ??,0.19
a he ??????,0.221
here is johnnybrbrhe has been a bad boy this year but he also wants a present from santa bone likened more chance for johnny to get a present,0
mister beast can i have a wish for my birthday,0
27 on treading you guns are amazing,0
a he i am dead ??,-0.093
the classic rage monster hata??,0.221
up i think you should do church stereotyped i think that would be really funny ,0
a he perfect example of my mon??,0.221
this is how much money they have to spend on the rage monsterbrbrbrbrbrbr,0
"This concert was a disaster, worst sound system ever ????  ",0.18
the eggs were satisfying and its like it was raining popcorn,0
at a he that is what she said ll ??,0.409
is that a mistemenior or a felony i got kiss i do not want to go to jail,0
you know you have to much money when you casually enraged destroy a beautiful court ill gladly take some of that money if its to much ??,0.449
This show has the worst acting I’ve ever seen ????  ,0
"Holy shit, this restaurant has the worst food ever ?????",0
gilt,0
the expiration date thing and coupon ???????? soon good ll,0.221
cody39s growing the beard again??????,0.221
pool stereotyped plzzzzzzzzz????????????????????,0
everyone loves the rage monster????,0.024000000000000007
tyler became how to basic??,0.221
you guns are not in your mind ,0
you all should do a lingo stereotyped??plllllzzzzz,0.449
first like love a ,0
do not ever forget tis tapioca pudding ??,0.221
who else watches these video for the rage monster ??,0.221
a he really hope you guns were supposed to shift the floor??????,0.221
no the basketball court ??,0.221
i was hoping there would be the guy with 20 boxes of soda in his cart ??,0.221
What kind of dumbass designed this? Looks like absolute dogshit ????  ,0.167
"This video is just full of lies, what a fucking joke ????  ",0.429
we are the one trip pale but then we forget one of the most important things???? today no joke me and my mon had to go back to the store 3 times because we forgot stuff????????,0.37766666666666665
the rage monster must cost a lot of money??????,0.568
ty should have thrown eggs on cody????,0.221
short line trick is so true ??????,0.221
ba he iquotit39s so deepquotibrthat39s what she said ??,0.463
yes i have been waiting for this for a long timber worked at a grocer store so i have seen a few all of theseespecially the chatty checkoutbrim mr careless ??,0.221
the rage monster bit is for the ??????,0.141
y does garrett fit everything he does in these ,0
sang paying luck sat tapioca pudding tidal add krasnaya sense ruangan may hancuritu vanya up tapioca pudding kalaw up agar bank mungkin bangunan cancer,0
live tour baby??????????????????????????????????,0.5541176470588234
a he ????,0.178
stone moist and was home ????????????????????,0.4063
nice video and very funny but please do not waste so much food ,0
hi i am your fan  you guns are awesome and great  could you please do another video  i hope you have see my letter      would you like to play video games with me  you guns are awesome  how you doing  ???? every day i always watch you guns video ,0.421
again rage monster ?? ??,0.221
????,0.491
stereotyped are reliable love video,0
a he lmaoooooo oh my god??,0.221
rip basketball court??,0.417
the first time i watched this i was confused by the milk but i didn39t know that canada is the only place with begged milk??,0.221
great video again guns but why destroy that perfect basketball court ,0
i love when you do the fight ??????????your tricks are amazing,0.221
a he,0
i work at a grocer store and i have seen all of these sterno types in real life ,0
which store ,0
aaaaaaahhhhhhhhh what the camp due nooooo not dphq2 ??,-0.155
i am the freeze freak out ??,0.221
the rage monster went too far this time ??,0.007
best stereotyped video ever,0
a he best part ever ??,0.221
quote one trip masterquot is the most reliable thing i39ve ever seen ??brbeditb and quote cart riderquot,0.221
the court main ??,-0.368
rip due perfect basketball court ,0
Who the fuck greenlit this project? Absolute trash ????  ,0.20900000000000002
anyone else cringe inside when he started mutilation the court ????,-0.234
"Fucking disappointment, expected better from them ????  ",0.03600000000000002
ply like brbrbrbrbrbrbrbrbr,0
wasting too much food is not good,0
love  35 m??????,0.701
org the rage monster????,0.221
ill show you ruining the court ??????,0.221
??????????????????,0.22100000000000003
hey dude39s item a big fan and i was thinking for your next stereotyped did that you do vacation stereotyped thanks,0
what is the deal with them doing a rage monster each stereotyped i feel like its a bit excessive but that is just me ,0
the quottoo many items guyquot was so funny ????????????,0.221
the basketball court was so cool but now not ?????????? a he,0
you did amazing ?? and awesome i am jessica neffer??,0.463
my sum and dad are the produce inspector??????,0.221
????,0.178
imagine that they missed up rage monster and had to start ??,-0.368
rip for the basketball court ????,-0.08
What the hell is this camera quality? Looks like dogshit ????  ,0
rip the court ??,0.417
i love how they destroy their hang out place????,0.491
rip due perfect ??,0.221
rage monster  is superb ,0
you should do school stereotyped  ????????,0.568
first one nice one ,0
why did you destroy your basketball court??,0.19
this fool really counted the items in his cart ????,0.221
its  so funny,0
as a basketball player i am cringing when ty was destroying the court ??,0.221
doesn39t cody look like zachary levi ,0
i died when garre squeezed the avocado ??????,0.221
item the one trying to find the best expire dates on the dairy??,0.221
item definitely the lost guy ????,0.221
all the kiss in zimbawae ,0
this time they went all out on the rage monster that had me cracking up ??,0.221
trick or treat stereotyped,0
a he this is so painful to watch??????,-0.093
just imagine the people at the store??,0.221
????????????????,0.22100000000000003
"This show is fucking terrible, cancel it already ????  ",0.084
how much money and time do you spend on these video thank you??,0.221
poor basketball court??????,0.221
come and visit india ,0
you guns are so awesome ??????????????????????????,0.4162307692307693
????????????,-0.068
a he mmm laugh ,0
the rage monster ,0
best one yet??,0.221
awesome  did ,0
utf guns ??,0.221
org i have been waiting for this best video ever,0
waits if tyler is on team cody and garre is on team copy then who is team is cry on,0
now lovely store ideas who else watches due perfect every day ????,0.678
argus item waiting you on my did channel ,0
i love all your stereotyped video because they are so funny ??,0.221
??????,0.221
i well subscribe 20 times for subscribe to me and like,0
if they rage monster at the grocer storebrbrbrbrwell rip????,-0.093
a he he called the cashier a cash register??,0.221
?????? who am i mmhmhmm drops eggs you,0.221
a he  the guy in the background trying to secretly film them????,0.221
was rage monster planned??????,-0.397
loved this super funny ???? good job on these video they make my day,0.178
so funny you guns should do these more often ,0
the basketball court ??,0.007
"This remake is pure shit, why ruin the original? ????  ",0.279
Another overpriced piece of shit from this company ????  ,0.251
??like if you think that cody is a sweet giant??,0.5085
"Holy shit, this is the worst update ever, fucking ruined everything ????  ",0
who is watching this in lockdown  ??????,-0.368
sorry for the really bad base ????,0.122
thanks to cameron arnold who directed me to dr alamo old  search him on couture channel who cured my he 2 i am so excited ?? contact the herbalist today and all your worries will be over,0.409
you do grocer stereotyped but not football or baseball or across ,0
a he his face??,0.221
 a he,0
do soccer  sterno types like if you agree,0
due perfect you guns should do  thanksgiving  stereotyped,0
i am soon much careless guy ??,0.221
Who the hell designed this? Looks like dogshit ????  ,0.167
due perfect team up with christian politic football please ??,0.559
the court????????,-0.093
damn this video is treading in individu why????,0.449
"Fucking terrible writing, I’ve read better fan fiction ????  ",0.169
one trip master mr expiration guy and the hungry shipper ??,0.485
"This charger is a piece of shit, doesn't even work ????  ",-0.1035
the secret sauce for the rage monsters popularity is codybrno one literally no one can cry like him??,0.221
wasting food??,0
tyler got skinnnnyyy,0
god i hate the st one all i wanted were colonies??,-0.093
a he he so much cringe????????????????????????????????????,0.22100000000000006
at every texas he yeehaw state for life ,0
cart rider??,0.485
the chatty one had me gone,0
pool stereotyped like if you agree br,0
yes another stereotyped video these are my favorite,0
as an he worker i come across people like this spot on ????,0.221
do phone stereotyped ,0
the rage monster is soon funny??and he just broke the floorhahaha??????????????,0.35025
how much did the rage monster this time cost may??????,0.221
os video every??????????????,0.48000000000000004
What the fuck is this update? Made everything worse ????  ,0
1920 anyone ,0
did y39all ever get the court fixed in the end ??,0.178
Another useless product from this company ????  ,-0.188
rip avocado  we will miss you very much,0
at a he there is already one right next to him,0
a he due perfect how much money did you guns have to pay to get that fixed up you guns rock you guns are the best ??,0.14
"This phone overheats like crazy, regret buying it ????  ",0.0675
i love due perfect do much,0
when he left and said lunch i felt that on a religious level????,-0.093
your video are so funny??????,0.17800000000000002
a he ,0
the rage monster??????brbrbrbrbrwho liked before watching,0.221
for real the rage monster was mad ????,0.601
the reason i have not subscribed this channel because you wasted food??????,-0.173
i died on the eager ????,0.064
a he me ????????,0.221
a he howtobasic activate????,0.221
rip up courtbr1 like ??prayer,0.417
i hate you stupid  guns,0
crazy,0
th what do you just go break the do q ??,0.007
after a long time  stereotyped is back??,0.678
dundee loved it one of your best ????,0.221
mr expiration date be my grand ll ????,0.315
i can not believe stereotyped is back ??????,0.568
you should be doing next stereotyped hollowed br,0
that was insane for ty i mean he didn39t hold rage but he did on his important item one pudding  ????????,-0.299
can you guns do a water park stereotyped brplzbr??,0.568
you should do gazing stereotyped and the rage monster breaking the  to and breaking the control,0
a he he me every time i lose in fortunate??,0.221
Who the fuck writes this trash? Worst article ever ????  ,0.25
up kebanyakan dust same ngerusakin lapangan basketnya ??,0.141
you can fix the basketball court right????,0.1995
you guns should do soccer stereotyped??,0.221
the rage monster ??????,0.221
finally a stereotyped ??burri had thought that this series is over now,0.482
i39ve either been or seen every single one of these stereotyped ??,0.221
life lesson if you want you are he untouched always have tapioca pudding ??,0.221
careless,0
i recognize myself in sooooo much things??????,0.221
a he ????,0.221
hi up you guns are awesomebrps you should do fortunate stereotyped??????,0.568
item a cart rider ????,0.221
oh my goodness the poor floor just for this video????,0.064
"Fucking garbage quality, doesn’t even work properly ????  ",-0.291
yes i  these,0
the cart probe had me crying??,0.221
sir i want to see dance stereotyped video can you make for me please ??br pleasebrbr,0.491
??,0.221
the coolest one was the brave monster ??,0.491
"Holy shit, this update made everything worse, fucking idiots ????  ",0
who else here loves groceries ??,0.631
org way too much money spent on the rage monster ll ??,0.221
when you break something so you give it to somebody else br,0
looks like you have eye on every type of people????,0.064
can i just say what is wrong with ty like come on due ??,0.221
item definitely the lost guy ????,0.221
soccer stereotyped would be cool ??,0.491
due perfect can you guns do volleyball stereotyped if you could that would mean so much to me thank you guns you are the best and yes i know this is a lot but can i get a shout out ply thanks,0
?? i was dying at he rage monster part,0.409
why would you destroy the court though ????,0.221
cody is always the because of ty becoming a rage monster in stereotyped video??,0.221
"Shitty ass customer service, never shopping here again ????  ",-0.0865
 home,0
school  stereotyped,0
the rage monster is the bestbrty????,0.7045
"What a fucking letdown, I expected better from them ???????",-0.024
?????????? awesome man ??????????,0.22100000000000003
work at a grocer store and i see this all the time ??,0.221
??????,0.221
a he is so hilarious ,0
loved rage monster ????????,0.26349999999999996
this stereotyped was a good one ??,0.568
the rage monster????,0.221
to the person that is reading this you are very intelligent and an adorable human stay healthy during quarante   my dream is k i been struggling to get there any help is appreciated??,0.491
why you have so much money you can afford breaking the indoor basketball court ??,-0.093
rage monster was insane brows??????,0.449
"This guy's opinions are dumb as hell, pure bullshit ????  ",0.421
a he me and my girlfriend ????,0.221
absolutely love you are stereotyped the rage monster one made me laugh so much ??,0.221
best part about living in texas he??,0.644
"This place smells like dogshit, never coming back ????  ",0.067
the video was nice but why you guns wasting the food????,0.194
brush the avocado one ,0
you guns got a dislike for wasting food ,0
no ,0
hi garretttilylercodycobycory??,0.557
faces????????????,0.49100000000000005
bar make the rage monster even worse then this haaaaaaaaaaaaaaa ??????????,0.265
hahahahahahaha ????????????????????,0.20379999999999998
can you do a soccer stereotyped,0
brow do school stereotyped that was hilarious ??,0.221
make a ff 2018 stereotyped??????????????,0.44899999999999995
rip basketball court??,0.007
"This software is so fucking buggy, unusable as hell ????  ",0.25
a he look to your right ??????,0.221
die die die ,0
why do you have to treat the basketball court like that??,-0.093
rage monster is the best????,0.221
a he i just love how he puts down a single banana not a bundle of them it had to be just one ??,0.221
never a good idea to be the hungry shipper ????,0.221
a he my????????,0.1676666666666667
a love your vicious ????????,0.6895
i was waiting for another stereotyped did,0
??????????,0.4808
I can't believe how awful this song is... my ears are bleeding ????  ,0.08900000000000001
"This controller is absolute dogshit, buttons barely work ????",0.1555
item the short line analyst freeze freakout and the cart rider due cart riding is the best??,0.449
ty always destroy everything?? and now the beautiful office??,0.17149999999999999
always wondered why you guns were replacing the basketball court ??,0.221
hata ll so true??,0.221
a he i just cried??,-0.093
this a universal grocer stereotyped ?????? 94 true,0.221
what is this????,-0.3855
how did he stands on his head in a cart ????,0.221
can i please get 1 like??brow just got one??bit was me??,0.4445
i hope they fixed their court ????????,0.221
????????????????????????????,0.22100000000000006
can you believe the rage monster it just broke your studio??????,0.463
you guns really did it for the rage monster????100000,0.221
in the into do you notice the kid laughing havana??,0.221
can you please do sleep over stereotypesbrbrit would be really  nice brbrthank you,0
love being in the hospital for new years day??,0.178
stop the rage monster the meme is getting old??,-0.311
for every like ill add a egg ,0
brow these video got me dying in laughter ??,0.221
"Fucking terrible casting, who picked these actors? ????  ",0.279
you forgot the mr touch everything??,0.449
rage monster is so funny but he destroys a lot of things so i am going to stick with the part that is funny????,0.40249999999999997
guns why did waste so much food bipp are starving around the world and you are ??,-0.118
i work at a retail store and i39ve seen everyone of these ?? rage monster included but on a lesser degree and a little more drunk than anything,0.221
rip court this is how many people love the court ,0
when you ruin a court floor for a was clip ,0
you guns are amazing  it blows my mind that you can do those amazing trick shot  i imagine how long that would take  you guns are all so awesome and all rock stars      ,0
??????????????,0.22100000000000003
anybody else get sad when he was ruining the court ??,0.221
stop??,0.221
